State,Optimal_Action,Optimal_Value
1,16,-1.1285714285714286
2,16,-1.0
3,17,-0.4589108455508008
4,16,-0.1281625282976135
5,16,-0.08799305623787002
6,14,0.5121477211866304
7,30,0.5043097526083886
8,16,-0.07059759075450744
9,21,-0.3903420677428654
10,40,0.33506372857068256
11,21,-0.3077934142864603
12,37,0.2522952387484586
13,18,0.26635271277380734
14,16,0.5598591167755056
15,18,0.3678281340449244
16,12,-0.02371234009677642
17,37,0.00040890027381512706
18,14,0.6064713300488533
19,18,0.7098657436432594
20,23,0.7400456529600157
21,4,0.11844859698587923
22,23,0.4184141004435089
24,16,-1.5142857142857142
25,16,-1.5142857142857145
26,16,-1.6428571428571428
27,13,-0.8714285714285716
28,13,-1.9
29,13,-1.0
30,16,-1.7714285714285714
31,12,-0.7428571428571431
32,13,-1.3857142857142857
33,13,-1.2571428571428571
34,16,-0.6142857142857142
35,21,-0.9675173079327162
36,25,-1.1100116035248873
37,16,-1.385714285714286
38,21,-0.6093420935994621
39,19,-0.4857142857142857
40,12,-0.48910906190112435
41,22,-1.0000000000000002
42,18,-1.5665902442845745
43,10,-0.41689112692465613
44,7,-1.3011458947875116
45,19,-0.7574114679804587
46,21,-0.17852462365231786
47,19,-1.1508746331446689
48,14,-0.9451541372800056
49,21,-0.6270258784625936
50,21,-0.9046277818612263
51,7,-0.364783318177983
52,14,-0.021830798893276243
53,21,-0.6044630640323043
54,19,-0.5874822739712677
55,34,0.12898032884524374
56,18,0.5726979337821271
57,16,0.8938793939022471
58,12,-0.17344577378949155
59,14,0.16802116509694823
23,15,0.7662307502218745
60,15,0.9608502147617374
61,2,1.189345810235236
62,15,1.1101904828720552
63,10,-0.844112496954584
64,23,0.37573832409409436
